Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
2265,Kévin Pedro,fr FRA,DF,Saint-Étienne,fr Ligue 1,18-344,2006,1,10,10,0.6,0.1,0,,0,1,10,3,0.00,0,0,0,0.00,+1.11,0.0,0.1,-0.1,-0.55,+0.37,Matches
2266,Adrià Pedrosa,es ESP,DF,Sevilla,es La Liga,26-262,1998,15,1090,73,57.7,12.1,13,82,7,2,12,2,1.33,11,13,-2,-0.17,+0.28,13.6,14.1,-0.5,-0.04,+0.27,Matches
2267,Jordan Pefok,us USA,FW,Union Berlin,de Bundesliga,28-279,1996,17,889,52,52.0,9.9,10,72,3,7,25,2,1.12,7,11,-4,-0.40,+0.58,11.1,11.4,-0.3,-0.03,+0.32,Matches
2268,Christian Pehlivanov,bg BUL,DF,Lecce,it Serie A,18-090,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2269,David Pejičić,si SVN,MF,Udinese,it Serie A,17-230,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
2270,Pejiño,es ESP,FW,Las Palmas,es La Liga,28-185,1996,1,16,16,0.8,0.2,0,,0,1,16,7,1.00,0,0,0,0.00,+0.38,0.1,0.1,0.0,-0.22,+0.73,Matches
2271,Pietro Pellegri,it ITA,FW,Torino,it Serie A,23-319,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2272,Pietro Pellegri,it ITA,FW,Empoli,it Serie A,23-319,2001,11,414,38,20.9,4.6,5,60,0,6,19,2,1.36,3,6,-3,-0.65,-0.36,2.1,5.6,-3.5,-0.75,-0.32,Matches
2273,Lorenzo Pellegrini,it ITA,MF,Roma,it Serie A,28-225,1996,18,1205,67,60.9,13.4,14,77,5,4,32,3,1.33,14,20,-6,-0.45,-1.73,16.4,19.8,-3.5,-0.26,-1.18,Matches
2274,Luca Pellegrini,it ITA,DF,Lazio,it Serie A,25-329,1999,14,545,39,27.5,6.1,5,79,3,9,17,5,1.86,12,9,+3,+0.50,+0.18,12.2,7.1,+5.1,+0.84,+0.58,Matches
2275,Théo Pellenard,fr FRA,DF,Auxerre,fr Ligue 1,30-332,1994,2,45,23,2.6,0.5,0,,0,2,23,10,3.00,1,0,+1,+2.00,+2.27,0.3,0.7,-0.4,-0.84,-0.26,Matches
2276,Andy Pelmard,fr FRA,DF,Lecce,it Serie A,24-324,2000,3,129,43,6.5,1.4,1,90,1,2,20,13,0.33,0,4,-4,-2.79,-1.77,0.8,3.9,-3.1,-2.15,-1.64,Matches
2277,Andy Pelmard,fr FRA,DF,Las Palmas,es La Liga,24-324,2000,1,10,10,0.5,0.1,0,,0,1,10,0,1.00,1,0,+1,+9.00,+9.43,0.3,0.6,-0.3,-2.73,-1.80,Matches
2278,Timothee Pembele,fr FRA,DF,Le Havre,fr Ligue 1,22-143,2002,8,674,84,39.4,7.5,8,84,6,0,,7,0.38,4,17,-13,-1.74,-0.78,5.5,14.2,-8.7,-1.16,-0.58,Matches
2279,Faris Pemi Moumbagna,cm CMR,FW,Marseille,fr Ligue 1,24-213,2000,1,8,8,0.5,0.1,0,,0,1,8,0,3.00,0,0,0,0.00,-0.90,0.0,0.0,0.0,0.00,-0.25,Matches
2280,Iñaki Peña,es ESP,GK,Barcelona,es La Liga,25-334,1999,15,1306,87,69.1,14.5,14,90,14,1,46,6,1.60,33,18,+15,+1.03,-2.05,34.9,19.1,+15.8,+1.09,-0.80,Matches
2281,Rubén Peña,es ESP,"FW,MF",Osasuna,es La Liga,33-196,1991,16,509,32,26.9,5.7,5,64,0,11,17,3,1.38,6,9,-3,-0.53,-0.40,6.2,8.9,-2.7,-0.48,-0.24,Matches
2282,Nicolas Pépé,ci CIV,"FW,MF",Villarreal,es La Liga,29-246,1995,13,611,47,32.3,6.8,6,76,0,7,22,0,2.08,11,10,+1,+0.15,-0.27,11.3,10.9,+0.4,+0.06,-0.80,Matches
2283,Peque,es ESP,"FW,MF",Sevilla,es La Liga,22-118,2002,16,785,49,41.5,8.7,10,71,1,6,12,5,1.06,12,11,+1,+0.11,+0.68,9.8,10.5,-0.7,-0.08,+0.14,Matches
2284,Sergiu Perciun,md MDA,MF,Torino,it Serie A,18-282,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
2285,Óscar Perea,co COL,MF,Strasbourg,fr Ligue 1,19-125,2005,1,7,7,0.4,0.1,0,,0,1,7,5,0.00,1,1,0,0.00,-0.11,0.1,0.0,+0.1,+0.87,+1.26,Matches
2286,Andreas Pereira,br BRA,MF,Fulham,eng Premier League,29-029,1996,20,1255,63,60.6,13.9,16,73,0,4,22,1,1.40,19,18,+1,+0.07,-0.15,20.1,15.2,+4.9,+0.35,+0.27,Matches
2287,Everton Pereira,fr FRA,MF,Nice,fr Ligue 1,17-293,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2288,Mathias Pereira Lage,pt POR,"FW,MF",Brest,fr Ligue 1,28-061,1996,16,546,34,31.9,6.1,6,70,1,10,13,3,1.56,13,11,+2,+0.33,+0.64,10.2,12.4,-2.2,-0.37,+0.16,Matches
2289,Pedro Pereira,pt POR,DF,Monza,it Serie A,27-008,1998,20,1360,68,68.7,15.1,17,79,5,3,8,1,0.60,16,25,-9,-0.60,-0.01,12.8,19.6,-6.8,-0.45,+0.07,Matches
2290,Ricardo Pereira,pt POR,DF,Leicester City,eng Premier League,31-116,1993,2,146,73,7.1,1.6,2,73,0,0,,8,0.50,1,4,-3,-1.85,-0.87,1.1,2.1,-1.0,-0.60,+0.34,Matches
2291,Gastón Pereiro,uy URU,MF,Genoa,it Serie A,29-233,1995,2,31,16,1.6,0.3,0,,0,2,16,13,0.50,1,0,+1,+2.90,+3.41,0.6,0.3,+0.3,+0.86,+1.18,Matches
2292,Gastón Pereiro,uy URU,"FW,MF",Cagliari,it Serie A,29-233,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
2293,Daniel Peretz,il ISR,GK,Bayern Munich,de Bundesliga,24-204,2000,3,270,90,15.8,3.0,3,90,3,0,,5,2.00,10,5,+5,+1.67,-0.65,7.0,2.8,+4.2,+1.41,-0.52,Matches
2294,Ayoze Pérez,es ESP,FW,Villarreal,es La Liga,31-185,1993,14,772,55,40.8,8.6,7,84,3,7,27,0,1.79,15,13,+2,+0.23,-0.17,14.0,11.5,+2.6,+0.29,-0.53,Matches
2295,Carles Pérez,es ESP,"MF,FW",Getafe,es La Liga,26-349,1998,18,1148,64,60.7,12.8,13,75,4,5,35,3,0.94,11,13,-2,-0.16,-0.40,13.1,13.8,-0.7,-0.05,+0.46,Matches
2296,Francisco Perez,es ESP,"FW,MF",Valencia,es La Liga,22-143,2002,9,257,29,13.6,2.9,3,52,0,6,17,5,1.11,1,6,-5,-1.75,-1.14,3.6,5.6,-2.0,-0.71,-0.15,Matches
2297,Kike Pérez,es ESP,MF,Valladolid,es La Liga,27-351,1997,19,1191,63,63.0,13.2,14,75,2,5,27,1,0.79,7,25,-18,-1.36,-0.07,11.5,21.0,-9.5,-0.72,+0.22,Matches
2298,Luis Pérez,es ESP,DF,Valladolid,es La Liga,29-361,1995,20,1760,88,93.1,19.6,20,88,19,0,,1,0.75,13,37,-24,-1.23,+1.54,18.3,31.0,-12.7,-0.65,+2.16,Matches
2299,Nehuén Pérez,ar ARG,DF,Udinese,it Serie A,24-220,2000,2,180,90,9.1,2.0,2,90,2,0,,0,2.00,3,2,+1,+0.50,+1.00,1.8,4.5,-2.7,-1.36,-0.95,Matches
2300,Simone Perilli,it ITA,GK,Hellas Verona,it Serie A,30-023,1995,1,90,90,4.5,1.0,1,90,1,0,,21,0.00,0,1,-1,-1.00,+0.05,0.3,1.7,-1.4,-1.39,-0.85,Matches
2301,Mattia Perin,it ITA,GK,Juventus,it Serie A,32-081,1992,5,450,90,22.7,5.0,5,90,5,0,,17,1.80,8,3,+5,+1.00,+0.35,7.5,3.8,+3.8,+0.75,+0.32,Matches
2302,Samuele Perisan,it ITA,GK,Empoli,it Serie A,27-162,1997,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
2303,Romain Perraud,fr FRA,DF,Betis,es La Liga,27-130,1997,18,1282,71,67.8,14.2,14,85,12,4,22,2,1.22,16,18,-2,-0.14,+0.01,22.3,19.9,+2.4,+0.17,+0.19,Matches
2304,Lucas Perri,br BRA,GK,Lyon,fr Ligue 1,27-051,1997,19,1710,90,100.0,19.0,19,90,19,0,,0,1.58,30,23,+7,+0.37,,31.7,26.0,+5.6,+0.30,,Matches
2305,Gaëtan Perrin,fr FRA,"MF,FW",Auxerre,fr Ligue 1,28-237,1996,19,1359,72,79.5,15.1,16,81,1,3,23,0,1.21,17,23,-6,-0.40,-0.91,16.3,26.5,-10.2,-0.68,-0.42,Matches
2306,Máximo Perrone,ar ARG,MF,Como,it Serie A,22-023,2003,11,755,69,38.1,8.4,8,85,5,3,24,0,1.09,13,12,+1,+0.12,+0.85,12.4,7.8,+4.6,+0.55,+0.66,Matches
2307,Pavao Pervan,at AUT,GK,Wolfsburg,de Bundesliga,37-078,1987,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2308,Noah Pesch,hr CRO,FW,Gladbach,de Bundesliga,19-257,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2309,Massimo Pessina,it ITA,GK,Bologna,it Serie A,17-036,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2310,Matteo Pessina,it ITA,MF,Monza,it Serie A,27-284,1997,11,854,78,43.1,9.5,10,82,6,1,36,1,0.73,10,12,-2,-0.21,+0.67,6.0,10.0,-4.0,-0.42,+0.08,Matches
2311,Andrea Petagna,it ITA,FW,Monza,it Serie A,29-214,1995,6,205,34,10.4,2.3,2,76,1,4,14,6,0.83,0,3,-3,-1.32,-0.81,0.6,2.6,-2.0,-0.88,-0.46,Matches
2312,Denis Petrić,rs SRB,GK,Lens,fr Ligue 1,36-251,1988,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
2313,Léo Pétrot,fr FRA,DF,Saint-Étienne,fr Ligue 1,27-290,1997,16,1306,82,76.4,14.5,14,89,11,2,31,1,0.94,17,28,-11,-0.76,+1.47,16.5,26.4,-10.0,-0.69,+0.99,Matches
2314,Đorđe Petrović,rs SRB,GK,Strasbourg,fr Ligue 1,25-114,1999,16,1440,90,84.2,16.0,16,90,16,0,,0,1.44,26,25,+1,+0.06,-0.27,23.2,29.5,-6.4,-0.40,-0.08,Matches
2315,Giuseppe Pezzella,it ITA,"DF,FW",Empoli,it Serie A,27-062,1997,21,1618,77,81.7,18.0,20,79,8,1,34,1,0.95,19,21,-2,-0.11,+1.38,16.0,21.2,-5.2,-0.29,+1.14,Matches
2316,Valentín Pezzolesi,es ESP,DF,Las Palmas,es La Liga,17-289,2007,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
2317,Luca Philipp,de GER,GK,Hoffenheim,de Bundesliga,24-063,2000,1,90,90,5.3,1.0,1,90,1,0,,18,1.00,2,2,0,0.00,+0.67,2.4,2.4,0.0,+0.03,+0.49,Matches
2318,Maximilian Philipp,de GER,"MF,FW",Freiburg,de Bundesliga,30-335,1994,2,17,9,1.0,0.2,0,,0,2,9,7,3.00,0,2,-2,-10.59,-10.16,0.1,1.7,-1.6,-8.70,-8.70,Matches
2319,Tim Philipp,de GER,GK,Hoffenheim,de Bundesliga,19-040,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2320,Kalvin Phillips,eng ENG,MF,Ipswich Town,eng Premier League,29-059,1995,13,861,66,41.6,9.6,10,80,4,3,20,4,0.62,8,21,-13,-1.36,-0.39,6.1,18.1,-12.0,-1.25,-0.17,Matches
2321,Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,eng Premier League,22-357,2002,11,332,30,16.0,3.7,2,78,1,9,20,3,1.64,2,5,-3,-0.81,-0.92,4.7,4.7,0.0,-0.01,-0.30,Matches
2322,Jaden Philogene Bidace,eng ENG,"FW,MF",Ipswich Town,eng Premier League,22-357,2002,2,105,53,5.1,1.2,1,78,0,1,27,0,0.00,0,5,-5,-4.29,-3.32,0.0,2.6,-2.5,-2.16,-1.06,Matches
2323,Edoardo Piana,it ITA,GK,Udinese,it Serie A,21-123,2003,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
2324,Pica,es ESP,DF,Alavés,es La Liga,23-029,2002,7,483,69,25.6,5.4,5,88,4,2,22,12,1.00,6,6,0,0.00,+0.51,5.8,6.3,-0.6,-0.11,+0.05,Matches
2325,Roberto Piccoli,it ITA,FW,Cagliari,it Serie A,24-003,2001,22,1817,83,91.8,20.2,22,83,9,0,,0,0.95,21,34,-13,-0.64,-0.64,24.4,33.7,-9.3,-0.46,-1.43,Matches
2326,Benedikt Pichler,at AUT,FW,Holstein Kiel,de Bundesliga,27-194,1997,16,743,46,43.5,8.3,7,78,5,9,22,1,0.56,9,22,-13,-1.57,-0.92,9.9,16.0,-6.1,-0.73,-0.26,Matches
2327,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,30-329,1994,22,1980,90,100.0,22.0,22,90,22,0,,0,1.05,19,28,-9,-0.41,,21.9,29.7,-7.8,-0.35,,Matches
2328,Amos Pieper,de GER,DF,Werder Bremen,de Bundesliga,27-013,1998,8,319,40,18.7,3.5,3,68,0,5,23,9,1.63,5,11,-6,-1.69,-1.89,4.6,5.9,-1.3,-0.36,-0.42,Matches
2329,Marvin Pieringer,de GER,"FW,MF",Heidenheim,de Bundesliga,25-118,1999,16,1124,70,65.7,12.5,14,76,4,2,30,0,0.69,18,22,-4,-0.32,+1.52,15.6,17.8,-2.3,-0.18,+0.46,Matches
2330,Nicholas Pierini,it ITA,MF,Venezia,it Serie A,26-177,1998,2,83,42,4.2,0.9,0,,0,2,42,0,0.50,0,1,-1,-1.08,-0.42,0.9,1.2,-0.4,-0.43,+0.28,Matches
2331,Santiago Pierotti,ar ARG,FW,Lecce,it Serie A,23-302,2001,21,1007,48,50.9,11.2,9,78,3,12,26,1,0.95,8,19,-11,-0.98,+0.31,11.6,18.8,-7.2,-0.64,-0.06,Matches
2332,Balthazar Pierret,fr FRA,MF,Lecce,it Serie A,24-260,2000,17,927,55,46.8,10.3,12,67,2,5,25,0,0.71,4,24,-20,-1.94,-1.51,8.8,18.3,-9.4,-0.92,-0.57,Matches
2333,Andrea Pinamonti,it ITA,FW,Genoa,it Serie A,25-256,1999,21,1715,82,86.6,19.1,20,84,13,1,41,0,1.19,15,25,-10,-0.52,-0.52,17.8,26.2,-8.4,-0.44,-1.03,Matches
2334,Ethan Pinnock,jm JAM,DF,Brentford,eng Premier League,31-246,1993,16,1440,90,69.6,16.0,16,90,16,0,,0,1.44,32,30,+2,+0.12,+0.12,25.4,27.6,-2.2,-0.14,-0.14,Matches
2335,Yeremi Pino,es ESP,MF,Villarreal,es La Liga,22-102,2002,18,956,53,50.6,10.6,12,68,0,6,23,1,1.56,23,21,+2,+0.19,-0.29,21.0,12.6,+8.4,+0.79,+0.39,Matches
2336,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,34-320,1990,0,,,,,0,,0,0,,22,,,,,,,,,,,,Matches
2337,Niccolò Pisilli,it ITA,MF,Roma,it Serie A,20-129,2004,17,869,51,43.9,9.7,9,74,3,8,26,4,1.53,14,12,+2,+0.21,-0.04,14.5,12.7,+1.8,+0.18,-0.04,Matches
2338,Tommaso Pittino,it ITA,DF,Genoa,it Serie A,20-016,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2339,Damián Pizarro,cl CHI,FW,Udinese,it Serie A,19-308,2005,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
2340,Semuel Pizzignacco,it ITA,GK,Monza,it Serie A,23-151,2001,3,270,90,13.6,3.0,3,90,3,0,,19,0.67,1,2,-1,-0.33,+0.30,1.9,2.2,-0.3,-0.11,+0.42,Matches
2341,Francesco Plaia,it ITA,GK,Torino,it Serie A,18-307,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2342,Alassane Pléa,fr FRA,"MF,FW",Gladbach,de Bundesliga,31-326,1993,18,1198,67,70.1,13.3,16,73,3,2,18,0,1.33,24,20,+4,+0.30,+0.83,20.5,20.8,-0.3,-0.02,+0.98,Matches
2343,Xavi Pleguezuelo,es ESP,DF,Betis,es La Liga,22-016,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2344,Elia Plicco,it ITA,MF,Parma,it Serie A,17-364,2007,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
2345,Tommaso Pobega,it ITA,MF,Bologna,it Serie A,25-199,1999,9,570,63,30.2,6.3,7,75,4,2,24,6,1.67,11,7,+4,+0.63,+0.50,7.8,5.6,+2.2,+0.35,+0.12,Matches
2346,Daniel Podence,pt POR,"MF,FW",Wolves,eng Premier League,29-101,1995,2,48,24,2.3,0.5,0,,0,2,24,0,0.00,0,2,-2,-3.75,-2.95,0.3,0.8,-0.5,-0.93,-0.29,Matches
2347,Joel Pohjanpalo,fi FIN,FW,Venezia,it Serie A,30-139,1994,20,1603,80,81.0,17.8,19,83,6,1,21,0,0.75,18,29,-11,-0.62,+0.34,18.3,28.8,-10.5,-0.59,+0.59,Matches
2348,Matteo Politano,it ITA,"FW,MF",Napoli,it Serie A,31-180,1993,21,1552,74,78.4,17.2,19,79,1,2,25,0,2.38,29,13,+16,+0.93,-0.33,23.2,14.4,+8.8,+0.51,-0.66,Matches
2349,Alfie Pond,eng ENG,DF,Wolves,eng Premier League,20-335,2004,1,1,1,0.0,0.0,0,,0,1,1,5,3.00,0,0,0,0.00,+0.87,0.0,0.0,0.0,0.00,+0.65,Matches
2350,Marin Pongračić,hr CRO,DF,Fiorentina,it Serie A,27-141,1997,4,192,48,10.2,2.1,2,86,1,2,10,8,1.75,3,2,+1,+0.47,-0.17,1.8,3.3,-1.5,-0.69,-1.20,Matches
2351,Nick Pope,eng ENG,GK,Newcastle Utd,eng Premier League,32-286,1992,15,1350,90,65.2,15.0,15,90,15,0,,1,1.33,19,21,-2,-0.13,-2.13,21.5,20.4,+1.1,+0.07,-1.37,Matches
2352,Bohdan Popov,ua UKR,MF,Empoli,it Serie A,22-001,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2353,Finn Porath,de GER,DF,Holstein Kiel,de Bundesliga,27-342,1997,19,1400,74,81.9,15.6,15,82,6,4,44,0,0.63,21,40,-19,-1.22,-0.93,15.7,25.2,-9.5,-0.61,-0.12,Matches
2354,Jackson Porozo,ec ECU,DF,Leganés,es La Liga,24-179,2000,0,,,,,0,,0,0,,18,,,,,,,,,,,,Matches
2355,Pedro Porro,es ESP,DF,Tottenham,eng Premier League,25-139,1999,23,1898,83,91.7,21.1,20,90,18,3,34,0,1.04,42,35,+7,+0.33,-0.71,35.5,36.1,-0.6,-0.03,-0.56,Matches
2356,Jack Porter,eng ENG,GK,Arsenal,eng Premier League,16-199,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2357,Portu,es ESP,"FW,MF",Girona,es La Liga,32-254,1992,12,261,22,13.8,2.9,1,65,0,11,18,1,1.00,4,6,-2,-0.69,-0.80,3.7,5.3,-1.6,-0.55,-0.73,Matches
2358,Stefan Posch,at AUT,DF,Bologna,it Serie A,27-261,1997,14,714,51,37.8,7.9,7,88,6,7,14,6,1.79,14,15,-1,-0.13,-0.66,10.1,9.8,+0.3,+0.03,-0.37,Matches
2359,Nicolò Postiglione,it ITA,DF,Monza,it Serie A,19-289,2005,0,,,,,0,,0,0,,17,,,,,,,,,,,,Matches
2360,Tom Pouilly,fr FRA,DF,Lens,fr Ligue 1,21-226,2003,2,46,23,2.7,0.5,0,,0,2,23,6,1.50,0,2,-2,-3.91,-4.29,0.3,1.6,-1.3,-2.56,-3.10,Matches
2361,Yussuf Poulsen,dk DEN,"FW,MF",RB Leipzig,de Bundesliga,30-229,1994,11,233,21,13.6,2.6,2,64,0,9,12,1,1.82,1,0,+1,+0.39,+0.14,3.8,3.7,+0.1,+0.04,+0.33,Matches
2362,Beñat Prados,es ESP,MF,Athletic Club,es La Liga,23-357,2001,16,888,56,47.0,9.9,11,69,2,5,26,3,2.06,16,8,+8,+0.81,+0.36,14.8,9.5,+5.2,+0.53,+0.11,Matches
2363,Alexander Prass,at AUT,DF,Hoffenheim,de Bundesliga,23-249,2001,17,1324,78,77.4,14.7,16,80,6,1,50,0,0.94,21,27,-6,-0.41,+0.99,20.0,23.5,-3.4,-0.23,+0.88,Matches
2364,Matteo Prati,it ITA,MF,Cagliari,it Serie A,21-033,2003,5,235,47,11.9,2.6,4,58,0,1,2,15,0.40,1,4,-3,-1.15,-0.63,2.7,3.4,-0.7,-0.26,+0.09,Matches
2365,Abdón Prats,es ESP,"FW,MF",Mallorca,es La Liga,32-054,1992,14,218,16,11.5,2.4,1,62,0,13,12,6,1.64,5,3,+2,+0.83,+1.31,4.3,3.6,+0.7,+0.27,+0.35,Matches
2366,Grischa Prömel,de GER,MF,Hoffenheim,de Bundesliga,30-021,1995,2,174,87,10.2,1.9,2,87,1,0,,0,1.50,4,5,-1,-0.52,+0.13,4.4,4.1,+0.3,+0.16,+0.66,Matches
2367,Ivan Provedel,it ITA,GK,Lazio,it Serie A,30-319,1994,22,1980,90,100.0,22.0,22,90,22,0,,0,1.77,38,30,+8,+0.36,,33.3,24.1,+9.2,+0.42,,Matches
2368,Ivan Prtajin,hr CRO,FW,Union Berlin,de Bundesliga,28-261,1996,2,18,9,1.1,0.2,0,,0,2,9,0,0.00,0,1,-1,-5.00,-4.36,0.1,0.9,-0.9,-4.38,-4.24,Matches
2369,Javi Puado,es ESP,"FW,MF",Espanyol,es La Liga,26-250,1998,19,1634,86,86.5,18.2,19,86,15,0,,0,0.89,16,26,-10,-0.55,+0.50,15.2,29.0,-13.8,-0.76,-0.09,Matches
2370,Tymoteusz Puchacz,pl POL,DF,Holstein Kiel,de Bundesliga,26-007,1999,10,396,40,23.2,4.4,5,54,0,5,25,4,0.40,6,10,-4,-0.91,+0.19,5.4,7.3,-1.8,-0.42,+0.22,Matches
2371,Diego Pugno,it ITA,FW,Juventus,it Serie A,18-207,2006,1,7,7,0.4,0.1,0,,0,1,7,1,1.00,0,1,-1,-12.86,-13.63,0.1,0.8,-0.8,-9.84,-10.38,Matches
2372,Víctor Puig,es ESP,GK,Las Palmas,es La Liga,25-170,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2373,Christian Pulisic,us USA,"FW,MF",Milan,it Serie A,26-134,1998,17,1206,71,63.8,13.4,15,77,5,2,25,0,1.71,25,15,+10,+0.75,+0.88,26.9,14.6,+12.2,+0.91,+0.76,Matches
2374,Jarell Quansah,eng ENG,DF,Liverpool,eng Premier League,22-001,2003,5,228,46,11.5,2.5,2,68,1,3,31,17,2.20,9,4,+5,+1.97,+0.54,5.9,3.6,+2.3,+0.92,-0.61,Matches
2375,Leopold Querfeld,at AUT,DF,Union Berlin,de Bundesliga,21-041,2003,14,703,50,41.1,7.8,6,83,3,8,26,5,1.07,6,18,-12,-1.54,-1.45,8.4,12.2,-3.9,-0.50,-0.53,Matches
2376,Dani Raba,es ESP,"MF,FW",Leganés,es La Liga,29-093,1995,13,675,52,35.7,7.5,9,67,0,4,19,5,1.31,7,7,0,0.00,+0.74,7.1,12.5,-5.4,-0.72,+0.24,Matches
2377,Alessio Raballo,,FW,Torino,it Serie A,,,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2378,Adrien Rabiot,fr FRA,MF,Marseille,fr Ligue 1,29-302,1995,14,1135,81,66.4,12.6,12,90,12,2,28,0,1.71,24,15,+9,+0.71,-0.54,23.1,16.9,+6.2,+0.49,+0.71,Matches
2379,Rafa,es ESP,GK,Sevilla,es La Liga,21-176,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2380,Hamza Rafia,tn TUN,MF,Lecce,it Serie A,25-303,1999,17,1013,60,51.2,11.3,13,72,2,4,21,2,0.82,7,15,-8,-0.71,+0.87,10.7,17.2,-6.5,-0.58,+0.07,Matches
2381,Hákon Rafn Valdimarsson,is ISL,GK,Brentford,eng Premier League,23-109,2001,1,55,55,2.7,0.6,0,,0,1,55,22,1.00,0,0,0,0.00,-0.09,1.1,0.6,+0.4,+0.73,+0.85,Matches
2382,Arnau Rafús,es ESP,GK,Valladolid,es La Liga,21-278,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2383,Antonio Raillo,es ESP,DF,Mallorca,es La Liga,33-114,1991,20,1767,88,93.5,19.6,20,88,18,0,,0,1.35,16,22,-6,-0.31,+0.43,20.8,21.2,-0.4,-0.02,+0.16,Matches
2384,Antonio Raimondo,it ITA,"FW,DF",Venezia,it Serie A,20-318,2004,9,94,10,4.7,1.0,0,,0,9,10,6,0.22,0,0,0,0.00,+0.72,0.6,1.1,-0.5,-0.48,+0.23,Matches
2385,Samuel Rak-Sakyi,eng ENG,MF,Chelsea,eng Premier League,19-309,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
2386,Ylber Ramadani,al ALB,MF,Lecce,it Serie A,28-293,1996,19,1306,69,66.0,14.5,15,79,6,4,30,2,0.95,8,28,-20,-1.38,-0.71,13.6,23.8,-10.2,-0.70,-0.26,Matches
2387,Benito Ramírez,es ESP,"DF,MF",Las Palmas,es La Liga,29-203,1995,13,320,25,16.9,3.6,1,77,0,12,20,7,1.15,6,7,-1,-0.28,+0.12,5.0,7.6,-2.6,-0.73,+0.26,Matches
2388,Sandro Ramírez,es ESP,"FW,MF",Las Palmas,es La Liga,29-205,1995,18,1227,68,64.9,13.6,15,76,4,3,29,0,1.11,18,19,-1,-0.07,+0.88,13.2,26.7,-13.6,-1.00,-0.16,Matches
2389,Jacobo Ramón,es ESP,DF,Real Madrid,es La Liga,20-024,2005,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
2390,Gonçalo Ramos,pt POR,FW,Paris S-G,fr Ligue 1,23-224,2001,8,354,44,20.7,3.9,5,61,1,3,17,0,2.25,9,2,+7,+1.78,+0.12,10.1,3.1,+7.0,+1.77,+0.20,Matches
2391,Robert Ramsak,de GER,FW,RB Leipzig,de Bundesliga,18-094,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
2392,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,26-261,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
2393,Aaron Ramsdale,eng ENG,GK,Southampton,eng Premier League,26-261,1998,15,1350,90,65.2,15.0,15,90,15,0,,0,0.33,11,33,-22,-1.47,+0.41,15.1,34.1,-19.0,-1.26,+0.28,Matches
2394,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,eng Premier League,23-247,2001,15,955,64,46.1,10.6,10,75,2,5,41,0,1.73,18,19,-1,-0.09,-0.09,14.6,13.0,+1.6,+0.15,-0.16,Matches
2395,Luca Ranieri,it ITA,DF,Fiorentina,it Serie A,25-282,1999,20,1735,87,91.8,19.3,19,89,17,1,45,0,1.67,34,20,+14,+0.73,+1.31,27.3,17.9,+9.4,+0.49,+1.21,Matches
2396,Grant Ranos,am ARM,FW,Gladbach,de Bundesliga,21-194,2003,2,20,10,1.2,0.2,0,,0,2,10,5,0.00,1,2,-1,-4.50,-4.61,0.4,1.8,-1.5,-6.58,-6.34,Matches
2397,Lilian Raolisoa,fr FRA,"DF,FW",Angers,fr Ligue 1,24-228,2000,15,364,24,21.3,4.0,2,46,0,13,21,1,1.00,6,6,0,0.00,+0.47,6.2,5.6,+0.7,+0.17,+0.54,Matches
