Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
95,Omar Alderete,py PAR,DF,Getafe,es La Liga,28-035,1996,20,1783,89,94.3,19.8,20,89,18,0,,0,1.15,17,16,+1,+0.05,+0.89,19.1,23.4,-4.2,-0.21,+0.39,Matches
96,Pedro Alemañ,es ESP,MF,Valencia,es La Liga,22-315,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
97,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,27-025,1998,9,438,49,23.2,4.9,5,67,0,4,25,7,0.78,2,4,-2,-0.41,-0.53,3.7,7.6,-3.9,-0.80,-0.74,Matches
98,Ben Alexander Voll,de GER,GK,St. Pauli,de Bundesliga,24-052,2000,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
99,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,26-115,1998,21,1665,79,84.1,18.5,20,82,12,1,24,0,2.38,47,17,+30,+1.62,+0.76,42.4,13.9,+28.6,+1.54,+0.51,Matches
100,Christos Alexiou,gr GRE,DF,Inter,it Serie A,19-214,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
101,Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,25-271,1999,12,434,36,23.0,4.8,4,66,0,8,21,6,0.67,9,9,0,0.00,+0.19,8.7,6.3,+2.4,+0.49,+0.31,Matches
102,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,21-011,2004,15,963,64,56.3,10.7,13,71,0,2,19,0,1.80,22,15,+7,+0.65,-0.07,18.5,12.4,+6.2,+0.58,-0.04,Matches
103,Mohamed Ali Diadie,fr FRA,FW,Reims,fr Ligue 1,20-100,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
104,Faride Alidou,de GER,"FW,MF",Hellas Verona,it Serie A,23-196,2001,3,71,24,3.6,0.8,0,,0,3,24,10,0.00,0,0,0,0.00,+1.08,0.5,0.5,-0.1,-0.07,+0.52,Matches
105,Alisson,br BRA,GK,Liverpool,eng Premier League,32-120,1992,14,1248,89,63.0,13.9,14,89,13,0,,0,2.36,35,12,+23,+1.66,+0.43,34.5,9.7,+24.8,+1.79,+0.88,Matches
106,Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,25-345,1999,1,2,2,0.1,0.0,0,,0,1,2,7,1.50,0,1,-1,-45.00,-44.90,0.0,0.0,0.0,0.00,-0.26,Matches
107,Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,29-338,1995,15,1008,67,58.9,11.2,14,71,0,1,16,0,1.47,12,15,-3,-0.27,+0.24,12.9,16.7,-3.7,-0.33,-0.19,Matches
